seed,method,scenario,partition,final_test_acc,aulc,malicious_accept_rate,benign_accept_rate,final_trust_ks,mean_round_runtime_sec
0,C0,S0,dir0.5,0.9843,0.9500040404040404,,1.0,,4.889133915996645
0,C0,S1,dir0.1,0.9048,0.7796323232323232,1.0,1.0,,5.453286714007845
0,C0,S1,dir0.5,0.8797,0.7743449494949495,1.0,1.0,,5.868163878996857
0,C1,S0,dir0.5,0.9833,0.9458550505050504,,1.0,,5.3420651340042244
0,C1,S1,dir0.1,0.9684,0.8148196969696971,1.0,1.0,,5.447681712993654
0,C1,S1,dir0.5,0.9699,0.8363267676767676,1.0,1.0,,5.832817065998679
0,C2,S1,dir0.1,0.9763,0.8921368686868687,1.0,1.0,1.0,5.429690992006799
0,C2,S1,dir0.5,0.9832,0.9495959595959597,1.0,1.0,1.0,5.624400601001689
0,C3,S0,dir0.5,0.9845,0.9511828282828285,,1.0,,5.43497798299999
0,C3,S1,dir0.1,0.9752,0.8758338383838382,1.0,1.0,0.9,4.997586805999744
0,C3,S1,dir0.5,0.983,0.9455075757575756,1.0,1.0,1.0,5.557106088998262
0,C4,S0,dir0.5,0.9829,0.9469378787878788,,0.926,,5.906365651995875
0,C4,S1,dir0.1,0.9621,0.8639737373737374,0.13020833333333334,0.7363861386138614,0.9,5.132784485999728
0,C4,S1,dir0.5,0.9816,0.9413702020202018,0.041666666666666664,0.9183168316831684,1.0,5.575541272999253
1,C0,S0,dir0.5,0.9872,0.9426671717171718,,1.0,,5.480305484004784
1,C0,S1,dir0.1,0.6578,0.7586388888888889,1.0,1.0,,5.591595840003574
1,C0,S1,dir0.5,0.2212,0.8127045454545455,1.0,1.0,,5.927105408995413
1,C1,S0,dir0.5,0.9861,0.9404398989898991,,1.0,,5.453410927001387
1,C1,S1,dir0.1,0.8356,0.7956297979797979,1.0,1.0,,5.564430984002538
1,C1,S1,dir0.5,0.3909,0.8652818181818183,1.0,1.0,,5.91388435199624
1,C2,S1,dir0.1,0.9561,0.8746520202020203,1.0,1.0,1.0,5.543887792991009
1,C2,S1,dir0.5,0.9843,0.9421191919191921,1.0,1.0,1.0,5.617008137998637
1,C3,S0,dir0.5,0.9862,0.948328282828283,,1.0,,5.492941889992217
1,C3,S1,dir0.1,0.9522,0.8703388888888889,1.0,1.0,0.975,5.643716786995064
1,C3,S1,dir0.5,0.9835,0.9395676767676768,1.0,1.0,1.0,5.687432745995466
1,C4,S0,dir0.5,0.9862,0.9426808080808082,,0.884,,5.901579766997602
1,C4,S1,dir0.1,0.9446,0.8450540404040403,0.07766990291262135,0.7670025188916877,1.0,5.32041653799708
1,C4,S1,dir0.5,0.9842,0.9385267676767678,0.014563106796116505,0.9055415617128464,1.0,5.605574612998171
2,C0,S0,dir0.5,0.9867,0.9588090909090907,,1.0,,5.389614856999833
2,C0,S1,dir0.1,0.579,0.7809828282828282,1.0,1.0,,5.530478121998021
2,C0,S1,dir0.5,0.5784,0.7859247474747474,1.0,1.0,,5.965567491006805
2,C1,S0,dir0.5,0.9854,0.9553252525252525,,1.0,,5.421964239003136
2,C1,S1,dir0.1,0.739,0.8165904040404041,1.0,1.0,,5.551511635001516
2,C1,S1,dir0.5,0.5506,0.8602414141414141,1.0,1.0,,5.699320001997985
2,C2,S1,dir0.1,0.9438,0.888610101010101,1.0,1.0,1.0,5.502584147009766
2,C2,S1,dir0.5,0.984,0.9583267676767676,1.0,1.0,1.0,5.5978638859977945
2,C3,S0,dir0.5,0.9857,0.9591005050505053,,1.0,,5.544165183997247
2,C3,S1,dir0.1,0.946,0.879870202020202,1.0,1.0,1.0,5.231871570000658
2,C3,S1,dir0.5,0.9845,0.9569383838383837,1.0,1.0,1.0,5.592586387005867
2,C4,S0,dir0.5,0.9851,0.9537272727272726,,0.9,,5.877772218002938
2,C4,S1,dir0.1,0.9353,0.8747868686868686,0.08333333333333333,0.8022959183673469,1.0,5.37431600800599
2,C4,S1,dir0.5,0.9849,0.9535383838383837,0.023148148148148147,0.8966836734693877,1.0,5.60987253200612
3,C0,S0,dir0.5,0.9842,0.9470207070707073,,1.0,,5.36783877400565
3,C0,S1,dir0.1,0.8642,0.7723883838383838,1.0,1.0,,5.377007085001096
3,C0,S1,dir0.5,0.9791,0.8543212121212123,1.0,1.0,,5.792804758991115
3,C1,S0,dir0.5,0.9834,0.9442085858585859,,1.0,,5.383478284003213
3,C1,S1,dir0.1,0.9531,0.8008530303030302,1.0,1.0,,5.384820769010112
3,C1,S1,dir0.5,0.9802,0.8745651515151515,1.0,1.0,,5.544911631003488
3,C2,S1,dir0.1,0.9738,0.8825540404040405,1.0,1.0,1.0,5.399051164994017
3,C2,S1,dir0.5,0.9832,0.9488681818181818,1.0,1.0,1.0,5.553239875000436
3,C3,S0,dir0.5,0.9846,0.9506914141414142,,1.0,,5.855508150999667
3,C3,S1,dir0.1,0.9711,0.8719545454545455,1.0,1.0,1.0,4.909452613005414
3,C3,S1,dir0.5,0.9843,0.9454393939393938,1.0,1.0,1.0,5.556981902993284
3,C4,S0,dir0.5,0.9832,0.945059595959596,,0.871,,5.8473935100075325
3,C4,S1,dir0.1,0.9455,0.845641414141414,0.1099476439790576,0.7515451174289246,1.0,5.279219237002544
3,C4,S1,dir0.5,0.9819,0.9183914141414141,0.1099476439790576,0.8912237330037083,1.0,5.487900463995756
4,C0,S0,dir0.5,0.9866,0.9543742424242423,,1.0,,5.41422210800345
4,C0,S1,dir0.1,0.9756,0.8309989898989899,1.0,1.0,,5.482109982995317
4,C0,S1,dir0.5,0.9828,0.8063308080808079,1.0,1.0,,5.877464348995127
4,C1,S0,dir0.5,0.9855,0.951701515151515,,1.0,,5.458692930004327
4,C1,S1,dir0.1,0.974,0.8837151515151515,1.0,1.0,,5.508075452992926
4,C1,S1,dir0.5,0.9817,0.8673505050505051,1.0,1.0,,5.6564453430078
4,C2,S1,dir0.1,0.9772,0.9170000000000001,1.0,1.0,,158.1842085850006
4,C2,S1,dir0.5,0.9846,0.9546863636363636,1.0,1.0,,5.601423139006365
4,C3,S0,dir0.5,0.986,0.9550292929292931,,1.0,,6.117790337001207
4,C3,S1,dir0.1,0.9772,0.9108383838383839,1.0,1.0,0.9,5.114897518996149
4,C3,S1,dir0.5,0.9854,0.9519510101010101,1.0,1.0,1.0,5.610856982994592
4,C4,S0,dir0.5,0.9853,0.9522217171717172,,0.914,,5.871534031999763
4,C4,S1,dir0.1,0.9752,0.9013080808080807,0.1715686274509804,0.7876884422110553,0.9,5.387709915997693
4,C4,S1,dir0.5,0.9857,0.9509580808080809,0.0196078431372549,0.9032663316582915,1.0,5.576208871984854
