scenario,partition,method,final_test_acc_mean,final_test_acc_std,final_test_acc_count,aulc_mean,aulc_std,aulc_count,malicious_accept_rate_mean,malicious_accept_rate_std,malicious_accept_rate_count,benign_accept_rate_mean,benign_accept_rate_std,benign_accept_rate_count,final_trust_ks_mean,final_trust_ks_std,final_trust_ks_count,mean_round_runtime_sec_mean,mean_round_runtime_sec_std,mean_round_runtime_sec_count
S0,dir0.5,C0,0.9858,0.0014335271186831876,5,0.9505750505050505,0.006279475243257098,5,,,0,1.0,0.0,5,,,0,5.308223027802073,0.23804544073859357,5
S0,dir0.5,C1,0.9847400000000001,0.0012973048986264016,5,0.9475060606060606,0.005963879089185907,5,,,0,1.0,0.0,5,,,0,5.411922302803258,0.049241050525428404,5
S0,dir0.5,C3,0.9853999999999999,0.0007968688725254517,5,0.9528664646464649,0.004233841525717721,5,,,0,1.0,0.0,5,,,0,5.689076708998066,0.2896244031416874,5
S0,dir0.5,C4,0.98454,0.0014258330898109777,5,0.9481254545454545,0.004706743423507246,5,,,0,0.899,0.022158519806160352,5,,,0,5.880929035800742,0.02396005648824405,5
S1,dir0.1,C0,0.79628,0.16950861924987767,5,0.7845282828282828,0.027448611758997477,5,1.0,0.0,5,1.0,0.0,5,,,0,5.48689554880117,0.0807612554956188,5
S1,dir0.1,C1,0.89402,0.10351778591140749,5,0.8223216161616161,0.03546704492823203,5,1.0,0.0,5,1.0,0.0,5,,,0,5.491304110800149,0.07499229817608873,5
S1,dir0.1,C2,0.9654399999999999,0.014846312673522665,5,0.8909906060606062,0.015981194599703426,5,1.0,0.0,5,1.0,0.0,5,1.0,0.0,4,36.01188453640044,68.29642949718325,5
S1,dir0.1,C3,0.96434,0.014254402828599988,5,0.8817671717171717,0.016664570165814283,5,1.0,0.0,5,1.0,0.0,5,0.9550000000000001,0.05123475382979796,5,5.179505058999406,0.286544712248463,5
S1,dir0.1,C4,0.9525399999999999,0.015927115244136304,5,0.8661528282828282,0.023350930554464258,5,0.11454556820186519,0.03824954477135335,5,0.7689836271025752,0.026599819185026862,5,0.96,0.054772255750516606,5,5.298889237000607,0.102493210378764,5
S1,dir0.5,C0,0.72824,0.32795321770033,5,0.8067252525252526,0.030750723304113572,5,1.0,0.0,5,1.0,0.0,5,,,0,5.886221177397063,0.06537723834373332,5
S1,dir0.5,C1,0.77466,0.2831543448368751,5,0.8607531313131312,0.01459208126010408,5,1.0,0.0,5,1.0,0.0,5,,,0,5.7294756788008385,0.1457675234632937,5
S1,dir0.5,C2,0.98386,0.0006387487769069086,5,0.950719292929293,0.006169715340592219,5,1.0,0.0,5,1.0,0.0,5,1.0,0.0,4,5.598787127800984,0.02770563295705965,5
S1,dir0.5,C3,0.98414,0.0009289779329995293,5,0.9478808080808079,0.006695280240377839,5,1.0,0.0,5,1.0,0.0,5,1.0,0.0,5,5.600992821597494,0.053625638940625234,5
S1,dir0.5,C4,0.9836600000000001,0.0018256505689753435,5,0.9405569696969696,0.013899596627217157,5,0.041786681745448764,0.039453612084061805,5,0.9030064263054804,0.010243437411645353,5,1.0,0.0,5,5.571019550796831,0.04914204943147169,5
